Bia Costa;0.53
Alice;9.61
Dez;1.98
Tirar;9.18
Vai;4.2
Luca Souza;6.78
Fred Moreira;4.75
Alice;9.21
Xande Lima;8.66
Você;4.29
Telma Oliver;3.95
Roni Vaz;8.48
Alice;5.04
Dez;9.07
Kasten Correa;9.39
Roni Vaz;7.63
Dayan do Amaral;0.36
Dayan do Amaral;3.85
Inverta;8.33
Kasten Correa;9.84
Kelvin;0.89
Armando Confusão;9.95
Dez;5.07
Bob Mc Donalds;0.27
Dez;1.52
David Costa;1.35
Ordem;4.83
Telma Oliver;7.11
Fred Moreira;4.8
Will Am I;0.02
Dez;8.18
Roni Vaz;4.13
Veni Vidi Vici;5.02
Vai;6.86
Você;2.88
Ebem Facil;9.24
David Costa;9.98
Veni Vidi Vici;0.06
Fred Moreira;8.29
Eu Rico Miranda;0.63
Roni Vaz;7.14
Tirar;7.55
Eu Rico Miranda;5.33
Dayan do Amaral;0.49
Elvis Não Morreu da Silva;9.65
Ron Rambo;0.48
Ron Rambo;5.23
Kasten Correa;4.31
Você;9.84
Veni Vidi Vici;1.09
Tirar;2.35
Xande Lima;7.2
Elvis Não Morreu da Silva;5.35
Roni Vaz;6.12
Jo El Mir;6.32
Fred Moreira;6.58
Jo El Mir;4.26
Alice;8.46
Ron Rambo;8.43
Jo El Mir;0.7
Ordem;7.51
Eu Rico Miranda;6.47
Você;3.78
Ordem;6.85
Bob Mc Donalds;5.63
Inverta;5.75
Luca Souza;6.27
Luca Souza;9.23
Alice;8.1
Jo El Mir;2.0
Telma Oliver;3.67
Alice;2.24
Tirar;6.92
Kasten Correa;6.36
Vai;1.08
Kasten Correa;9.62
Você;1.07
Eu Rico Miranda;8.48
Elvis Não Morreu da Silva;1.2
Ron Rambo;0.07
Tirar;9.93
Roni Vaz;0.64
Bob Mc Donalds;6.93
Kelvin;5.53
Dez;3.41
Kelvin;7.04
Pet Cavalo;2.92
Pet Cavalo;8.83
Telma Oliver;4.21
Ebem Facil;4.09
Alice;5.56
Roni Vaz;8.83
Você;4.65
Eu Rico Miranda;7.86
Elvis Não Morreu da Silva;7.58
Ron Rambo;9.26
Tirar;1.46
Luca Souza;3.63
Armando Confusão;2.14
Você;1.09
Alice;2.08
Roni Vaz;0.07
Jo El Mir;6.22
Luca Souza;3.87
Fred Moreira;7.97
Dez;3.01
Kasten Correa;1.98
Bob Mc Donalds;9.39
Fred Moreira;4.79
Armando Confusão;1.82
Ebem Facil;5.12
Vai;7.35
Bia Costa;0.71
Tirar;3.59
Luca Souza;9.61
Will Am I;1.51
Roni Vaz;0.53
Ordem;0.4
David Costa;6.45
Você;8.45
Will Am I;4.28
Dez;1.53
Você;4.16
Fred Moreira;2.48
Inverta;2.44
Kelvin;5.81
Dayan do Amaral;0.66
Bia Costa;5.18
Bia Costa;2.06
Dez;4.82
Veni Vidi Vici;3.69
Ebem Facil;9.67
Will Am I;3.93
Ordem;7.94
Will Am I;9.2
Xande Lima;4.28
Ordem;1.28
Tirar;8.61
Veni Vidi Vici;9.26
Armando Confusão;6.62
Ron Rambo;7.31
Pet Cavalo;3.48
Ron Rambo;8.72
Vai;3.87
Luca Souza;3.0
Bia Costa;3.19
Ebem Facil;2.58
Alice;6.42
Ebem Facil;2.78
Dayan do Amaral;1.7
Kelvin;3.51
Inverta;9.57
Bob Mc Donalds;6.56
Alice;7.37
Kelvin;9.81
Inverta;8.3
Você;1.01
Telma Oliver;7.01
Você;9.22
Jo El Mir;9.84
Armando Confusão;9.22
Vai;1.14
Xande Lima;3.26
Telma Oliver;2.56
Ordem;8.33
Dayan do Amaral;9.49
Kelvin;5.37
David Costa;9.33
Kelvin;3.17
Bob Mc Donalds;2.47
David Costa;8.86
Ron Rambo;4.38
Telma Oliver;0.17
Kelvin;2.96
Roni Vaz;8.91
Eu Rico Miranda;2.99
Tirar;8.77
Luca Souza;5.81
Dayan do Amaral;8.8
Telma Oliver;7.92
Tirar;8.69
Elvis Não Morreu da Silva;1.11
Kelvin;4.84
Ordem;0.5
Pet Cavalo;4.01
Dez;6.97
Alice;0.41
Pet Cavalo;5.26
Vai;9.66
Xande Lima;3.78
Tirar;9.89
Elvis Não Morreu da Silva;9.0
David Costa;0.09
Kasten Correa;5.27
Ebem Facil;0.86
Dez;4.11
Ron Rambo;6.28
Jo El Mir;8.82
Kasten Correa;2.4
Fred Moreira;9.38
Ordem;8.55
Eu Rico Miranda;4.45
Bob Mc Donalds;6.56
Bia Costa;1.42
Luca Souza;8.15
Pet Cavalo;3.6
David Costa;5.15
Xande Lima;7.06
Kasten Correa;4.51
Kasten Correa;6.43
Ebem Facil;6.38
Ron Rambo;1.06
Kelvin;8.52
Bia Costa;8.43
Veni Vidi Vici;0.24
David Costa;2.12
Elvis Não Morreu da Silva;7.38
Vai;5.84
Armando Confusão;5.65
Inverta;9.46
Fred Moreira;0.75
Roni Vaz;0.95
Tirar;0.16
Telma Oliver;5.93
Jo El Mir;3.71
Bia Costa;7.64
Elvis Não Morreu da Silva;5.66
Ordem;5.15
Telma Oliver;5.11
Elvis Não Morreu da Silva;2.86
Xande Lima;9.03
